dl,fl1,fl2,fl3,kl,layer,optimizer,train_acc,train_loss,val_acc,val_loss, trainable_params
16,16,0,0,0,1,RMSprop,0.8978622327790974,0.24968781153044933,0.9034758689821467,0.2354417315633722,15538
16,16,0,0,0,1,Adam,0.9021127641029635,0.2354699908226546,0.9127281820455114,0.22638070953729958,15538
16,16,0,0,0,1,SGD,0.8065383172822097,0.4488087955795686,0.8424606151537885,0.3854703269926838,15538
16,16,0,0,0,1,Nadam,0.9147393423954477,0.20869916702996405,0.9137284321229319,0.20801371655320489,15538
32,16,0,0,0,1,RMSprop,0.9026128265809709,0.23772201966342962,0.9122280570142536,0.22292958445163272,16098
32,16,0,0,0,1,Adam,0.9078009750995357,0.22362651783148188,0.9172293073268317,0.2111334524868011,16098
32,16,0,0,0,1,SGD,0.8184773096860625,0.4241618703776471,0.8379594898724682,0.3773562935970222,16098
32,16,0,0,0,1,Nadam,0.9202400300037504,0.1934047328478911,0.9204801200449124,0.1980822958940862,16098
64,16,0,0,0,1,RMSprop,0.9046755844257015,0.23063948596622186,0.9129782445760452,0.21536232464371338,17218
64,16,0,0,0,1,Adam,0.909613701712714,0.2206577612081309,0.9167291823104787,0.21974856928680264,17218
64,16,0,0,0,1,SGD,0.8026003250331786,0.47558493767846954,0.8377094273568392,0.4065854065818887,17218
64,16,0,0,0,1,Nadam,0.9228653581772227,0.19192576374574993,0.9239809952488122,0.19890789941389223,17218
128,16,0,0,0,1,RMSprop,0.9058007250906364,0.23059995652944063,0.9144786196698186,0.22025659847860188,19458
128,16,0,0,0,1,Adam,0.9125515689237638,0.2096943042865916,0.9124781195447873,0.2156487055724637,19458
128,16,0,0,0,1,SGD,0.814289286145867,0.4545838972943651,0.8372093023255814,0.396841415176394,19458
128,16,0,0,0,1,Nadam,0.9197399674735824,0.1905837935449213,0.9237309327480882,0.19932039650112846,19458
16,32,0,0,0,1,RMSprop,0.9034254281859738,0.23411664442354954,0.916229057279221,0.2133988193882558,35122
16,32,0,0,0,1,Adam,0.9126765845805231,0.21694530191600644,0.9237309327480882,0.20062518561928236,35122
16,32,0,0,0,1,SGD,0.8191023878059264,0.43078653529474537,0.8427106776694173,0.3786606387954618,35122
16,32,0,0,0,1,Nadam,0.920927615951994,0.19078558231554324,0.9259814953738434,0.19438855479690068,35122
32,32,0,0,0,1,RMSprop,0.913801725200749,0.21405879004156012,0.9257314328582146,0.20166568572475302,36194
32,32,0,0,0,1,Adam,0.9160520064784581,0.20606135111989074,0.9207301825605413,0.20158017316619348,36194
32,32,0,0,0,1,SGD,0.8111013876809107,0.4399032969167939,0.8467116779194799,0.375535265565157,36194
32,32,0,0,0,1,Nadam,0.9239279910063264,0.1843036523447184,0.921980495123781,0.2029619497503451,36194
64,32,0,0,0,1,RMSprop,0.911113889243606,0.2111505883170569,0.9197299324980257,0.19762370926562056,38338
64,32,0,0,0,1,Adam,0.917864733099088,0.19926822822434348,0.916229057264316,0.20567840559090875,38338
64,32,0,0,0,1,SGD,0.8159144892962609,0.44834957993586433,0.8442110527631908,0.38330110018850716,38338
64,32,0,0,0,1,Nadam,0.9281785223227409,0.18004241463712997,0.9242310577644411,0.18269696043420952,38338
128,32,0,0,0,1,RMSprop,0.9114264283035379,0.21163660805830287,0.9132283070767692,0.2233685363614133,42626
128,32,0,0,0,1,Adam,0.9204275534441805,0.19436868691775244,0.9167291823104787,0.2006005202197647,42626
128,32,0,0,0,1,SGD,0.8092261532766102,0.44784273356776755,0.8312078019504876,0.40118077136510966,42626
128,32,0,0,0,1,Nadam,0.9258657332166521,0.17801708718993497,0.926731682935635,0.18886576020201912,42626
16,64,0,0,0,1,RMSprop,0.8939867483211884,0.25352338640104755,0.9194798699674919,0.20966636908184025,86578
16,64,0,0,0,1,Adam,0.9024253031405408,0.23457390479980997,0.9214803700925231,0.2019009729528254,86578
16,64,0,0,0,1,SGD,0.8184148018576828,0.4425306573430066,0.8457114278718691,0.38012620038347084,86578
16,64,0,0,0,1,Nadam,0.9146768346043256,0.20562949019855284,0.9232308077019254,0.19622023879483091,86578
32,64,0,0,0,1,Adam,0.9111763970496312,0.21912814540375672,0.9127281820455114,0.21587366944076003,88674
32,64,0,0,0,1,Nadam,0.9301787723465433,0.17544926353127738,0.9169792448112029,0.19819839402314096,88674
