dl,fl1,fl2,fl3,kl,layer,optimizer,train_acc,train_loss,val_acc,val_loss,trainable_params
16,16,16,16,5,1,RMSprop,0.8985498187422439,0.2356561953286884,0.8794698675413911,0.2917742156839335,8322
16,16,16,16,5,2,RMSprop,0.9007375921990248,0.2370772523564955,0.8874718680415162,0.28172803874551194,9618
16,16,16,16,5,3,RMSprop,0.8980497561971729,0.24390097910004835,0.8847211803546933,0.2811194010736585,10914
16,16,16,16,5,1,Adam,0.8992374046830359,0.23311291323563266,0.8869717429953535,0.28326430966717564,8322
16,16,16,16,5,2,Adam,0.8980497562269789,0.2383371360012257,0.8862215554633717,0.278424881553316,9618
16,16,16,16,5,3,Adam,0.9022377797001108,0.23584999925927205,0.8779694924476177,0.2935632230952908,10914
16,16,16,16,5,1,SGD,0.8600450056033486,0.32415024163104816,0.8534633659308897,0.3365628453873789,8322
16,16,16,16,5,2,SGD,0.852356544568071,0.3362890453186016,0.8577144286816762,0.33031882320710737,9618
16,16,16,16,5,3,SGD,0.8390423803049887,0.3663419121942724,0.8397099275563951,0.3556261907729187,10914
16,16,16,16,5,1,Nadam,0.9033004125292144,0.2228356929974923,0.8839709928078066,0.28173404133865376,8322
16,16,16,16,5,2,Nadam,0.9026128266107768,0.2279609109932057,0.8897224306970812,0.2791282505832872,9618
16,16,16,16,5,3,Nadam,0.9028628578348776,0.23384192646954385,0.8817204301671464,0.2719127770721033,10914
32,16,16,16,5,1,RMSprop,0.8977372171372409,0.24391490845832844,0.8842210553234355,0.2796154428971174,8626
32,16,16,16,5,2,RMSprop,0.8950493811800981,0.2434342194496207,0.8834708677765488,0.28825513811730297,9922
32,16,16,16,5,3,RMSprop,0.8934866858431809,0.2518855801115544,0.8864716179640957,0.2805793751222129,11218
32,16,16,16,5,1,Adam,0.9041130141342174,0.22433068411028195,0.8864716179790005,0.2762754855975117,8626
32,16,16,16,5,2,Adam,0.8995499437206134,0.2300278263010298,0.8807201801195357,0.2870628850017079,9922
32,16,16,16,5,3,Adam,0.9036754594324292,0.22880912618437985,0.8869717430102584,0.2666929559309383,11218
32,16,16,16,5,1,SGD,0.857607200907564,0.3251048633569121,0.8604651163684991,0.3213153251799145,8626
32,16,16,16,5,2,SGD,0.8492936616853589,0.33905341184754745,0.8444611153384393,0.3516618288749753,9922
32,16,16,16,5,3,SGD,0.8355419427204883,0.3739770909468373,0.8437109278064574,0.3602335076983138,11218
32,16,16,16,5,1,Nadam,0.9022377797224652,0.22437499528665786,0.8894723681665474,0.2653483369330163,8626
32,16,16,16,5,2,Nadam,0.9006125765720715,0.23115360994762385,0.8892223056360137,0.27907724230251896,9922
32,16,16,16,5,3,Nadam,0.9022377797001108,0.23224984408393626,0.8819704926976802,0.2941378320148809,11218
64,16,16,16,5,1,RMSprop,0.8972371546219761,0.2307354157709273,0.8839709928227115,0.285357288969669,9234
64,16,16,16,5,2,RMSprop,0.8962995374272772,0.2445277908188445,0.885471367916485,0.28596928658322057,10530
64,16,16,16,5,3,RMSprop,0.8941742717914245,0.2487563866423821,0.8662165542279642,0.3313151459957427,11826
64,16,16,16,5,1,Adam,0.90236279535687,0.2274544268459033,0.8807201801195357,0.2939319538306999,9234
64,16,16,16,5,2,Adam,0.9032379047455438,0.227033511336028,0.8874718680415162,0.26465851926272976,10530
64,16,16,16,5,3,Adam,0.8989873733993232,0.23820510556182495,0.8812203051358887,0.2880833394514319,11826
64,16,16,16,5,1,SGD,0.8509813726492295,0.3373954135830037,0.8462115529627465,0.3481271044779909,9234
64,16,16,16,5,2,SGD,0.8581697712214027,0.3275107547681784,0.8619654914324628,0.3235590235386291,10530
64,16,16,16,5,3,SGD,0.8328541067633454,0.38135649755472295,0.8434608652908285,0.3621921059518315,11826
64,16,16,16,5,1,Nadam,0.9044255532016008,0.21887924364841435,0.8912228057759498,0.27609488210787797,9234
64,16,16,16,5,2,Nadam,0.9011751468710072,0.22928058993430386,0.8799699925577441,0.28307175172749505,10530
64,16,16,16,5,3,Nadam,0.8994249281160145,0.2402932548082565,0.8822205552133091,0.2963106924331197,11826
128,16,16,16,5,1,RMSprop,0.8999874984447562,0.2296514087061477,0.8812203051507935,0.3030857601689529,10450
128,16,16,16,5,2,RMSprop,0.8970496312113521,0.2445604164055071,0.885471367916485,0.2805642644877313,11746
128,16,16,16,5,3,RMSprop,0.898737342167771,0.2432822971951143,0.8847211803695982,0.27611995306751913,13042
128,16,16,16,5,1,Adam,0.903300412536666,0.22117695497384526,0.8827206802296621,0.2887028185285071,10450
128,16,16,16,5,2,Adam,0.9023627953494188,0.2306531345831974,0.8857214304321138,0.2791362912185671,11746
128,16,16,16,5,3,Adam,0.9026753343944476,0.2339344089141725,0.8787196800094094,0.3009463813743701,13042
128,16,16,16,5,1,SGD,0.8547943492713072,0.3321918694451237,0.8537134284167088,0.33811993883919433,10450
128,16,16,16,5,2,SGD,0.8455431928991124,0.3521706144639679,0.8457114279463935,0.3476388144713695,11746
128,16,16,16,5,3,SGD,0.847480935094535,0.3459251537362044,0.8579644911973051,0.3368033671280717,13042
128,16,16,16,5,1,Nadam,0.9056132016278516,0.2209090811232691,0.8812203051507935,0.30794306312182096,10450
128,16,16,16,5,2,Nadam,0.8985498187347924,0.2333446501081609,0.885221305400856,0.2682157291207024,11746
128,16,16,16,5,3,Nadam,0.9008626078334298,0.23604827681129045,0.8837209303070825,0.28365286595972217,13042
16,16,16,32,5,1,RMSprop,0.8977372171595955,0.2365651259978632,0.8872218055258873,0.2853279099460839,8322
16,16,16,32,5,2,RMSprop,0.8956119514715822,0.24524068715036146,0.8844711178390644,0.2855087425014799,9618
16,16,16,32,5,3,RMSprop,0.8952369046130766,0.2493325559461261,0.8834708677765488,0.2786582689205984,12466
16,16,16,32,5,1,Adam,0.9046130766122248,0.2232484735128417,0.8854713679015799,0.2750855889707006,8322
16,16,16,32,5,2,Adam,0.9010501312664084,0.2323523436595327,0.8822205552282141,0.287296929585096,9618
16,16,16,32,5,3,Adam,0.8981122640330041,0.238827103084103,0.8819704926827754,0.2874709953402364,12466
16,16,16,32,5,1,SGD,0.8656082010027736,0.3105460443948564,0.8577144286816762,0.3191493704158624,8322
16,16,16,32,5,2,SGD,0.8560445055408409,0.3269868419664117,0.8544636159785004,0.3287103019168479,9618
16,16,16,32,5,3,SGD,0.8512314039329422,0.3445235147954881,0.8559639910722738,0.3344394682228163,12466
16,16,16,32,5,1,Nadam,0.9041130141044114,0.2251400731258064,0.8869717430102584,0.27380641356993685,8322
16,16,16,32,5,2,Nadam,0.9034254281859738,0.23074973377865216,0.8809702426351645,0.29209034646055226,9618
16,16,16,32,5,3,Nadam,0.90142517815472,0.231289609365984,0.8862215554484668,0.2760859713811641,12466
32,16,16,32,5,1,RMSprop,0.8999249906014735,0.23221104322619585,0.882720680244567,0.2861566876554286,8626
32,16,16,32,5,2,RMSprop,0.8982997874510796,0.2374039492827756,0.8807201801046308,0.2831330181628831,9922
32,16,16,32,5,3,RMSprop,0.8950493811502921,0.24945306513425425,0.8722180545881528,0.2862158625103229,13026
32,16,16,32,5,1,Adam,0.9026128266033254,0.2278495833426965,0.8892223056360137,0.2704904898907966,8626
32,16,16,32,5,2,Adam,0.899424928123466,0.2309046043831716,0.8817204301820514,0.27684600380367863,9922
32,16,16,32,5,3,Adam,0.901612701565344,0.2378990040065825,0.8737184296819263,0.3098425660901858,13026
32,16,16,32,5,1,SGD,0.8581697712214027,0.3247467532617954,0.8619654914622725,0.3239110422137381,8626
32,16,16,32,5,2,SGD,0.8539192398900851,0.3360285872980302,0.8539634909323377,0.3317007326310681,9922
32,16,16,32,5,3,SGD,0.8327290911140375,0.3774405637988151,0.8467116779940043,0.3521759289447949,13026
32,16,16,32,5,1,Nadam,0.9051756469409664,0.22275218994062476,0.8814703676664224,0.2827437489770239,8626
32,16,16,32,5,2,Nadam,0.9010501312664084,0.2322310212906904,0.8842210553234355,0.28279633801798426,9922
32,16,16,32,5,3,Nadam,0.8988623577947243,0.2392587962909995,0.8819704926976802,0.2735717550803197,13026
64,16,16,32,5,1,RMSprop,0.8977997249730723,0.2343545838098837,0.8862215554633717,0.2739408474008451,9234
