,Subject,isspam
0,"Confidential :Soma:, Ci@lis, :P:ntermin",spam 
1,¢Â ÇªÁüÇÑ ¼³³¯ ÀÌº¥Æ® ÀÀ¸ðÇØ¼­ ºÎ¸ð´Ô²² ¼±¹°ÇÏ¼¼¿ä!! j cbop blraijvv,spam 
2,,spam 
3,StOck 0ppurtunities - their sh0Oting,spam 
4,CP&L tariff changes (ER01-1807),ham 
5,IM draft - Florida Projects,ham 
6,All your prescr[iption needs right here,spam 
7,Video of teens,spam 
8,CheapPrice Phamraceuticals,spam 
9,st0ck P|ayer Emerging Equity Rep0rt,spam 
10,"big AD1PEX, XANAAX, TUSSI0NEEX, C1AL1IS, \/AL11UM, AMB11EN, \/11AGRRA FROM $65 changed progress",spam 
11,Internet Promotion - 096276,spam 
12,She told me you want a Rolex ?    92854570,spam 
13,"Cure weight problem with Pharmaceuticals from the web.,..cochlea simplicial",spam 
14,Treat depression with medication's from the internet..amatory dudley,spam 
15,News About Your VentureWire Subscription,ham 
16,Top-quality prescripiton drvgs,spam 
17,"Get_Unlimited Movies, Sports and Entertainment Channels",spam 
18,Emory,spam 
19,Internet Promotion - 096276,spam 
20,8/3/01 MPR ,ham 
21,Get Your Own Replica,spam 
22,¥«­±¤W°ª¹F¨â¸U¤¸ªº°O¾Ðªk¥u­n1600¤¸³á!!                                             VRBOJEMSFN,spam 
23,Naked celebrity babes ,spam 
24,Emerging GrOwth st0ck PrOfile,spam 
25,=?ISO-2022-JP?B?GyRCPz83dSRKJCo0aiQkGyhC?=,spam 
26,Now you can watch ON_Demand Movie channels_Free r7frh41204,spam 
27,All-Nude,spam 
28,=?utf-8?B?UmU6IFtjaGxvcm9mb3JtXSA2NCUgb2ZmIFZpY29kaW4uICBsb2NrZXIgZnJvY2tz?=,spam 
29,=?GB2312?B?w+K30bXEyMu8yrnYz7XN+A==?=,spam 
30,CheapPrice Phamraceuticals,spam 
31,"The Next ""H0me Run stOck?""",spam 
32,"`shoot bucket loads of s,perm",spam 
33,"Get_Unlimited Movies, Sports and Entertainment Channels",spam 
34,Precisi0n MicrO-Cap Rep0rt,spam 
35,"½Å¿ëÀÌ ³·¾Æµµ Á÷ÀåÀÎ ´çÀÏ´ëÃâ 2000¸¸¿ø±îÁö(¹«¹æ¹®,¹«¼­·ù k vmvt e utmusdtmjds",spam 
36,Promotion for your business - 840514,spam 
37,¿ÃÇØ ÃÖ°íÀÇ ÀÎ±âÀÚ°ÝÁõ !ÃÖ°íÀ¯¸ÁÁ÷ ½ºÅ²¾ÆÆ®ÀÚ°ÝÁõ!@ pkoysgc qe esrobbk y,spam 
38,¿ù 1%´ë °¡Àå ¾ÈÀüÇÑ ÃÊ°£Æí ´çÀÏ ´ëÃâ kvbq fkqlshvxcjt,spam 
39,Hey,spam 
40,Get Popular Medications - NO PRIOR PRESCRIPTION! US Doctors & Pharmacies - Overnight Shipping!,spam 
41,New Breed 0f Shares Trader,spam 
42,double D.|CK s|ze                         ,spam 
43,You've been approved at 3.25,spam 
44,st0ck P|ayer Emerging Equity Rep0rt,spam 
45,Shop and save at discount pharmacy,spam 
46,Aggressive Invest0rs P0rtf0liO,spam 
47,"TRRC Chairman MICHAEL WILLIAMS and Land Commissioner DAVID DEWHUR
	ST",ham 
48,Now you can watch ON_Demand Movie channels_Free r7frh41204,spam 
49,these Shares are unbe|ievab|e,spam 
50,Downl0ad Holiday Tunes,spam 
51,Precisi0n MicrO-Cap Rep0rt,spam 
52,ÀÎÅÍ³Ý ½Å¿ë´ëÃâ/´©±¸³ª ´çÀÏ¿¡ ÀÔ±ÝµË´Ï´Ù.. ttm nj,spam 
53,Ass lovers rejoyce!!!,spam 
54,"FW: Day of Caring - 5719 Ettrick, Aug 8, 2001",ham 
55,Precisi0n MicrO-Cap Rep0rt,spam 
56,RE: Practice Sunday at 1 ,ham 
57,PhamraceuticalsOnline,spam 
58,News About Your VentureWire Subscription,ham 
59,Get your health products and meds for less,spam 
60,Get prescripiton medications,spam 
61,"Invest0rs, MicrOcap PrOfi|e f0r YOu",spam 
62,MAKE SURE YOU DO YOUR BEST WITH YOUR COMPUTER,spam 
63,Aggressive Invest0rs P0rtf0liO,spam 
64,Do you want a Rolex in $75 - $275 ?   [bradbury],spam 
65,RE: ,ham 
66,Email Promotion - 661292,spam 
67,Capacity Center,ham 
68,½Å¿ëµî±ÞÀÌ ³·¾Æµµ ½ÅÃ»ÈÄ 30ºÐ³» ´©±¸³ª ´ëÃâ°¡´É. gbwpu,spam 
69,"TRRC Chairman MICHAEL WILLIAMS and Land Commissioner DAVID DEWHUR
	ST",ham 
70,Promotion for your business - 386794,spam 
71,Order re. transfer of operational control to MISO,ham 
72,Billing Procedure Question,ham 
73,New Shares Pr0file,spam 
74,This St0ck is ascending,spam 
75,Editorial on Emissions Trading,ham 
76,"¡Ü ±èÄ¡³ÃÀå°í, µðÄ« , È«»ï¿¢±â½º,ÈÞ´ëÆù  ¼³³¯ÀÌº¥Æ® ÀÀ¸ðÇÏ¼¼¿ä!! z",spam 
77,Schedule,ham 
78,"½Å¿ëÀÌ ³·¾Æµµ Á÷ÀåÀÎ ´çÀÏ´ëÃâ 2000¸¸¿ø±îÁö(¹«¹æ¹®,¹«¼­·ù l cipfvn  ts",spam 
79,Practice Thurs. at 6PM,ham 
80,Equity Sp0tlight,spam 
81,(±¤°í) GPIB ÃøÁ¤ÀÚµ¿È­ ¹«·á¼¼¹Ì³ª ¹× ±¸¸Å ÀÌº¥Æ® ÃÊÃ»@,spam 
82,Now you can watch ON_Demand Movie channels_Free y4ghu51217,spam 
83,¢¼Áý[¾È]¿¡¼­ ÈÞ´ëÆùÃ³·³ ¾²´ÂÀüÈ­!! mlfhq,spam 
84,Precisi0n MicrO-Cap Rep0rt,spam 
85,"Á¾ÇÕ±ÝÀ¶ Á÷ÀåÀÎ,°ø¹«¿ø,99%½ÂÀÎ1¾ï¿ø±îÁö ruddk hdopkckqcab",spam 
86,=?ISO-2022-JP?B?GyRCPz83dSRKJCo0aiQkGyhC?=,spam 
87,"FW: Aug. 6 -- BNA, Inc. Daily Labor Report",ham 
88,these Shares are unbe|ievab|e,spam 
89,Now you can watch ON_Demand Movie channels_Free m7jqf24298,spam 
90,Ä«µå¼ÒÁöÀÚ¹×Á÷ÀåÀÎ ½Å¿ë´ëÃâ[Áï½ÃÀÔ±Ý] ztp  jsnodjhgbvet s,spam 
91,We Sellls Viicodin Ryan.Slinger,spam 
92,"Delivery Confirmation, Tracking Number : YQF9387422924062MERP",spam 
93,Ass lovers rejoyce!!!,spam 
94,Get prescripiton medications,spam 
95,PJM Interconnection LLC OATT revisions (ER01-2327),ham 
96,eBay security check: Account accessed by a third party,spam 
97,NNG & TW Functional / Entity Earnings Models - Update (Incl. Non Earnings / Cash Flow Data),ham 
98,=?utf-8?B?UGhvdG9zaG9wLCBXaW5kb3dzLCBPZmZpY2UuIENIRUFQLiAgTydDb25ub3IgYmllcg==?=,spam 
99,DJ DIVA open dates 2005,spam 
100,"Get_Unlimited Movies, Sports and Entertainment Channels",spam 
101,Email Promotion - 661292,spam 
102,Quote of the day,ham 
103,=?ISO-2022-JP?B?GyRCPz83dSRKJCo0aiQkGyhC?=,spam 
104,FW: Report on Technical Conference on El Paso's Receipt Point Reallocation (RP00-336),ham 
105,Enron Mentions - 08/06/01,ham 
106,Fast delivery prescripiton medicine,spam 
107,Equity Sp0tlight,spam 
108,"Order vicod1n ES, HYDR0CODONE, C1AL!S Online Anytime",spam 
109,¡Ú ÇªÁüÇÑ ¼±¹° !!    ¼³³¯ ÀÌº¥Æ® ÀÀ¸ð ~~~~ n,spam 
110,Email Promotion - 661292,spam 
111,Promotion for your business - 840514,spam 
112,Tadalafil Soft Tabs - Great results!,spam 
113,Email Promotion - 661292,spam 
114,"=?utf-8?q?News : Yankees get R?=
 =?utf-8?q?olex watches?=",spam 
115,"observed \/1AGRRA, AD1PEX, \/AL1UUM, AMB1EEN, XAANAX, TUSS10NEX, C1AAL1S arrived fixed",spam 
116,Looking for a perfect gift ? Gift a Rolex!    [prick],spam 
117,Precisi0n MicrO-Cap Rep0rt,spam 
118,Affordable online pills here,spam 
119,We Sellls Viicodin Ryan.Slinger,spam 
120,Precisi0n MicrO-Cap Rep0rt,spam 
121,Aggressive Invest0rs P0rtf0liO,spam 
122,"usedto NER0, AD0BBE, AL11AS, APPLE, M1CR0SOFT, ALL 0RIGINAL are object",spam 
123,Now you can watch ON_Demand Movie channels_Free r7frh41204,spam 
124,=?utf-8?B?bGFzdCBub3RpY2U=?=,spam 
125,map,ham 
126,Now you can watch ON_Demand Movie channels_Free m7jqf24298,spam 
127,United Way 2001 -  Building Houston's Future,ham 
128,WINNING NOTIFICATION / FINAL NOTICE.......CONGRATULATIONS!!!!,spam 
129,Affordable online pills here,spam 
130,"final AMB11EN, XANAAX, TUSSI0NEEX, \/AL11UM, AD1PEX, C1AL1IS, \/11AGRRA FROM $65 showed check",spam 
131,FW: CSFB Independent Power Weekly-Issue #38; Response to BarronsArti cle Included,ham 
132,=?ISO-2022-JP?B?GyRCPz83dSRKJCo0aiQkGyhC?=,spam 
133,Aggressive Invest0rs P0rtf0liO,spam 
134,=?Big5?B?vse3fLlxuKOrT7vZsXqquqW8qNMhMjAwNS8xLzE4IKRXpMg=?= 07:18:57,spam 
135,DJ DIVA open dates 2005,spam 
136,New Shares Pr0file,spam 
137,DJ DIVA open dates 2005,spam 
138,Now you can watch ON_Demand Movie channels_Free y4ghu51217,spam 
139,Now you can watch ON_Demand Movie channels_Free y4ghu51217,spam 
140,You've been approved at 3.25,spam 
141,=?Windows-1251?B?8uX17ejq4CDv8O7i5eTl7ej/IPHu4uX54O3o6Q==?=,spam 
142,Produce Stronger and Rock Hard Erections ,spam 
143,TW's Firm Capacity Procedures,ham 
144,New Shares Pr0file,spam 
145,Precisi0n MicrO-Cap Rep0rt,spam 
146,RE: Vacation Schedule,ham 
147,Wil| these Shares G0 higher?,spam 
148,¡ã´ëÃâ°í¹Î ÀÌÁ¦³¡¡ãÀºÇà±ÇÃÖÀú ±Ý¸®.´©±¸³ª ´ëÃâ°¡´É (»ó´ã½ÅÃ»´ëÈ¯¿µ)@  l uacrypvkrsd,spam 
149,Unbe|ievab|e Invest0rs InfO,spam 
150,A Perfect Shares In An Imperfect WOr|d?,spam 
151,Flying Under The Radar With Stealth st0cks,spam 
152,"eleven SYMANNTEC, PC GAMES, MACR0MEDIA, M1CR0S0FT FROM $20 EACH more farther pride",spam 
153,"ËÅÑ¡ÊÙµÃ""Changing HRD to Strategic Partner""  ¾Ñ²¹Ò·ÃÑ¾ÂÒ¡ÃÁ¹ØÉÂìÍÂèÒ§Á×ÍÍÒªÕ¾...",spam 
154,Drugs Online,spam 
155,Top-quality prescripiton drvgs,spam 
156,Dear One,spam 
157,This St0ck is ascending,spam 
158,Get prescripiton medications,spam 
159,=?gb2312?B?1NrP+8+iICJSZTogRGVsaXZlcnkgUHJvdGVjdGlvbiLW0Leiz9ayoba+?=,spam 
160,Hello..,spam 
161,Logo_Design_!   9    7  r zxdwaqv,spam 
162,RE: Practice Sunday at 1 ,ham 
163,"etc TUSS10NEX, C1AAL1S, \/AL1UUM, AMB1EEN, XAANAX, \/1AGRRA, AD1PEX clear seems known",spam 
164,"Get_Unlimited Movies, Sports and Entertainment Channels",spam 
165,DJ DIVA open dates 2005,spam 
166,=?ISO-2022-JP?B?GyRCPz83dSRKJCo0aiQkGyhC?=,spam 
167,You can make 1000s with hot slutty porn stars- benedictine peking,spam 
168,FW: Duke transaction,ham 
169,´ã¹è¸¦ ÇÇ¿ì¸é¼­ ²÷À»¼ö ÀÖ½À´Ï´Ù. (¾¦ ´ã¹èÀÇ È¿´ÉÀ» ´À²¸º¸¼¼¿ä),spam 
170,=?Windows-1251?B?8uX17ejq4CDv8O7i5eTl7ej/IPHu4uX54O3o6Q==?=,spam 
171,You've been approved at 3.25,spam 
172,¢»°áÁ¦¹×¿¬Ã¼ÇØ°áÇÏ°í 36°³¿ù Àå±âºÐÇÒºÐÇÒ»óÈ¯ 5Ãµ¸¸¿ø±îÁö!~ jzq,spam 
